,name,rating,review,date
4,Tom Teacher, 3 stars ,nothing much to see tbh  beside some mountains on the horizon  not worth the money really,20 hours ago
22,M V CHINNAMANI, 5 stars ,very good,3 days ago
97,Bezalel Gani, 5 stars ,was a great view loved it,2 weeks ago
153,James Kim, 5 stars ,i took my children to this place on 25th of june  korea is the only divided nation in the world  picturesque view,a month ago
158,Fabian, 3 stars ,except for beautiful landscape there is not much to see,a month ago
177,Udit Jain, 5 stars ,nice view  north eastern most point in south korea accessible to public,a month ago
192,Armenui Carstensen, 3 stars ,unfortunately not so much information in englisch but still interesting,a month ago
209,Allan Boldt, 4 stars ,the observation deck is plenty high for a good view   but it is difficult to get a high quality picture through the glass that is dirty or produces glare,2 months ago
305,Pil Koo, 5 stars ,excellent view of dmz,2 months ago
323,Kibyoung Kim, 5 stars ,important place to connect with north korea for citizens in south korea where people can see sights of north korea  formerly  people could visit mt  gumgang area in north korea through this place but  has been discontinued at this moment,3 months ago
345,Dillon Webb, 3 stars ,easy way to kind of get close to dprk  it s nothing like the one north of camp casey,3 months ago
356,M J, 5 stars ,extraordinery experience,3 months ago
365,willis un, 4 stars ,recommend visiting this place,3 months ago
397,Tina TV (Miao Ying), 5 stars ,very close to north korea  it s not open every day  there was hardly anyone around    original,4 months ago
466,Warren Korges, 5 stars ,there isn t much of anything to see in n korea  although perhaps that s kind of the point  the beach views are very nice  definitely worth the trip just to say you were at the dmz,5 months ago
522,Jason Roh, 5 stars ,good experience,6 months ago
565,T 6, 5 stars ,elevator was down but was worth the climb on top floor to see the view and utilize the hd camera stations,8 months ago
582,Jennifer Gilbert, 5 stars ,on a clear day  you can see the dmz as well as the rugged north korean landscape,8 months ago
599,SOON CHUL WOO, 5 stars ,it was a great experience  which all koreans would feel almost the same  people can see the territory of north korea clearly with naked eyes    i wish peaceful reunification of korea would come soon,9 months ago
643,Atsushi Harada, 5 stars ,an observatory overlooking north korea from the east side  the view of the sea of japan from a hill is superb  you can also see mt  kongo  some of the observatory facilities are under renovation  access is quite poor  so you need to secure a car,10 months ago
678,Roy Whitworth, 4 stars ,well worth a visit   see the coastline and i to n korea,a year ago
715,Jeff Sheets, 5 stars ,very scenic  definitely worth visiting and learning all about that area up near the dmz,a year ago
759,Frédéric Weber, 5 stars ,a must see if you are nearby seokcho  beautiful deserted beach with the mount kumgang in the background,a year ago
768,Pat, 5 stars ,note  you have to get a pass to cross into the dmz    i dropped a pin for the souvenir shop where you get it  see photos   as you drive north  you ll see signs earlier than you expect for the dmz   that s the store to get your pass   super cool museum at the tower  the big dmz museum was closed for some reason   gorgeous day to see everywhere    the little museum was a great tribute to the kia efforts the rok was undertaken   great view of historic hill 351   an awful place to fight and die during the war   a solemn place to visit and remember to pray for unification on the korean peninsula,a year ago
785,Zo Zo, 5 stars ,nice and unique scenery,a year ago
869,Muhammad Umar Farooq, 5 stars ,a very nice place to have a sneak peek at de militarized zone  dmz,a year ago
886,JAE IL Ban, 4 stars ,interesting place to visit,a year ago
