name,rating,review,date,attraction,address,latitude,longitude
Katie Song, 5 stars ,huge  5 floors with a huge variety of items  all good quality and affordable   spent 2 hours here,a week ago,다이소속초본점,강원도 속초시 조양동 1034-1,38.1899194,128.590865
8071 kusum G, 3 stars ,in this place we can find various kind of products related decoration  stationary products  beauty products and so more in a low cost around 2000won to 5000won   it depends on the product we buy,3 years ago,다이소속초본점,강원도 속초시 조양동 1034-1,38.1899194,128.590865
F21 SC 093 FAZLE RABBI, 4 stars ,great place  cheaper stuff at lower and reasonable prices,4 months ago,다이소속초본점,강원도 속초시 조양동 1034-1,38.1899194,128.590865
Michelle La Velle, 5 stars ,this daiso in sokcho is enormous  the staff is friendly and helpful  they go out of their way to help customers,3 years ago,다이소속초본점,강원도 속초시 조양동 1034-1,38.1899194,128.590865
Karina Kim, 5 stars ,biggest  cleanest diaso i have ever visited  5 floors of irrisitable merchandise and friendly workers,3 years ago,다이소속초본점,강원도 속초시 조양동 1034-1,38.1899194,128.590865
Seok kim, 3 stars ,was good,2 years ago,다이소속초본점,강원도 속초시 조양동 1034-1,38.1899194,128.590865
Simplice INTUNGANE, 5 stars ,great,a year ago,다이소속초본점,강원도 속초시 조양동 1034-1,38.1899194,128.590865
SUNG HOON PARK, 5 stars ,good,a year ago,다이소속초본점,강원도 속초시 조양동 1034-1,38.1899194,128.590865
Momay Review, 4 stars ,very wide  with 5 floors  a lot of things  you can shop as much as you want                5,a year ago,다이소속초본점,강원도 속초시 조양동 1034-1,38.1899194,128.590865
?剋?均逵 ?逵橘棘?棘勻逵, 5 stars ,very nice store  all at reasonable prices    ,3 years ago,다이소속초본점,강원도 속초시 조양동 1034-1,38.1899194,128.590865
?龜?逵剋? 鬼筠?筠畇?克, 5 stars ,six stories of various goods   ,2 years ago,다이소속초본점,강원도 속초시 조양동 1034-1,38.1899194,128.590865
Batgerel Ganbaatar, 5 stars ,hymd vntei songolt ihtei,2 years ago,다이소속초본점,강원도 속초시 조양동 1034-1,38.1899194,128.590865
Tihon VAA, 5 stars ,norm   ,2 years ago,다이소속초본점,강원도 속초시 조양동 1034-1,38.1899194,128.590865
