name,rating,review,date,attraction,address,latitude,longitude
Richard Jurasek, 2 stars ,very overpriced food  cool to walk around but there are better places to eat and explore in sokcho  go to sokcho beach and the other port instead  the bridge was neat to walk on though,a week ago,´ëÆ÷Ç×¼ö»ê½ÃÀå,°­¿øµµ ¼ÓÃÊ½Ã ´ëÆ÷µ¿ ´ëÆ÷Ç×Èñ¸Á±æ 59,38.1742891,128.6059161
Nava K, 3 stars ,basically  a market and seafood market  perhaps like one of those you may have visited in japan or elsewhere  of course  the fresh catch from the sea cannot be faulted and you also get to buy other stuffs as well  walk from one end to the other until you are satisfied  while also considering spending you money on the things which may lure your attention  for me personally  i thought a waste of my time,3 years ago,´ëÆ÷Ç×¼ö»ê½ÃÀå,°­¿øµµ ¼ÓÃÊ½Ã ´ëÆ÷µ¿ ´ëÆ÷Ç×Èñ¸Á±æ 59,38.1742891,128.6059161
Nordiana Mat Salleh, 5 stars ,many variety of seafood fries over here and also the live one and big lobster  nice experience to be here,3 years ago,´ëÆ÷Ç×¼ö»ê½ÃÀå,°­¿øµµ ¼ÓÃÊ½Ã ´ëÆ÷µ¿ ´ëÆ÷Ç×Èñ¸Á±æ 59,38.1742891,128.6059161
Jinman Ha, 5 stars ,quite mordern and regacy market are be in same place,a year ago,´ëÆ÷Ç×¼ö»ê½ÃÀå,°­¿øµµ ¼ÓÃÊ½Ã ´ëÆ÷µ¿ ´ëÆ÷Ç×Èñ¸Á±æ 59,38.1742891,128.6059161
Hong Gyu Park, 5 stars ,you must try if you want to eat something all kinds of sea food and snack in daepo harbour korea,a year ago,´ëÆ÷Ç×¼ö»ê½ÃÀå,°­¿øµµ ¼ÓÃÊ½Ã ´ëÆ÷µ¿ ´ëÆ÷Ç×Èñ¸Á±æ 59,38.1742891,128.6059161
Andy Koh Woon Chieh, 3 stars ,fresh seafood and quite empty during weekdays  good place to experience raw seafood,3 years ago,´ëÆ÷Ç×¼ö»ê½ÃÀå,°­¿øµµ ¼ÓÃÊ½Ã ´ëÆ÷µ¿ ´ëÆ÷Ç×Èñ¸Á±æ 59,38.1742891,128.6059161
jaja na, 5 stars ,so many seafood that gonna make you excited,3 years ago,´ëÆ÷Ç×¼ö»ê½ÃÀå,°­¿øµµ ¼ÓÃÊ½Ã ´ëÆ÷µ¿ ´ëÆ÷Ç×Èñ¸Á±æ 59,38.1742891,128.6059161
Steve Choe, 4 stars ,a must place to visit   great market place with variety of korean traditional cuisine,a year ago,´ëÆ÷Ç×¼ö»ê½ÃÀå,°­¿øµµ ¼ÓÃÊ½Ã ´ëÆ÷µ¿ ´ëÆ÷Ç×Èñ¸Á±æ 59,38.1742891,128.6059161
AiMei Huang, 4 stars ,arrived there at night   a must try fried seafood and sweet potato,4 years ago,´ëÆ÷Ç×¼ö»ê½ÃÀå,°­¿øµµ ¼ÓÃÊ½Ã ´ëÆ÷µ¿ ´ëÆ÷Ç×Èñ¸Á±æ 59,38.1742891,128.6059161
Karen Laurico, 5 stars ,it s one of the best fish market i ve visited so far here in south korea  the atmosphere is so good since it is facing the pacific ocean and the view is amazing  it is also clean and organized  it offers variety of seafood products and other food products  we also enjoyed the cafe nearby,2 years ago,´ëÆ÷Ç×¼ö»ê½ÃÀå,°­¿øµµ ¼ÓÃÊ½Ã ´ëÆ÷µ¿ ´ëÆ÷Ç×Èñ¸Á±æ 59,38.1742891,128.6059161
Chunghee Roh, 3 stars ,no special things  many of markets open waiting for customers but can t find any specialty at each market  completely the same  also  the price is 30  up comparing to the same restaurant in downtown which is 3 km away from here  if you persue some moods  you can eat but if you are there with limited budget  go and find it in downtown  concerned about quality  downtown giving you high as well,3 years ago,´ëÆ÷Ç×¼ö»ê½ÃÀå,°­¿øµµ ¼ÓÃÊ½Ã ´ëÆ÷µ¿ ´ëÆ÷Ç×Èñ¸Á±æ 59,38.1742891,128.6059161
January Serda, 5 stars ,delicous food and fun shopping,3 years ago,´ëÆ÷Ç×¼ö»ê½ÃÀå,°­¿øµµ ¼ÓÃÊ½Ã ´ëÆ÷µ¿ ´ëÆ÷Ç×Èñ¸Á±æ 59,38.1742891,128.6059161
INKYU PARK, 2 stars ,20 25 years ago  i had a good memory of daepohang fish market  but the facilities are better now than in the past  now all shops and facilities are mordernized  so i didn t feel the old memory now,3 years ago,´ëÆ÷Ç×¼ö»ê½ÃÀå,°­¿øµµ ¼ÓÃÊ½Ã ´ëÆ÷µ¿ ´ëÆ÷Ç×Èñ¸Á±æ 59,38.1742891,128.6059161
Brandon, 5 stars ,daepo port was so nice to look around  it was clean and tidy  the east sea is right in front of the port  a fresh raw fish was tasty  too,2 years ago,´ëÆ÷Ç×¼ö»ê½ÃÀå,°­¿øµµ ¼ÓÃÊ½Ã ´ëÆ÷µ¿ ´ëÆ÷Ç×Èñ¸Á±æ 59,38.1742891,128.6059161
Valerie Ng, 3 stars ,if you come here  be prepared for a very  fishy  smell because it s all seafood products  it was quite cold during winter and i m not a seafood fan so there is nothing for me here,3 years ago,´ëÆ÷Ç×¼ö»ê½ÃÀå,°­¿øµµ ¼ÓÃÊ½Ã ´ëÆ÷µ¿ ´ëÆ÷Ç×Èñ¸Á±æ 59,38.1742891,128.6059161
Dinuka Adasooriya, 4 stars ,we visit there at evening  nice place to have fried sea food  buy fish and other raw sea foods  there is a beautiful carriage rides around the harbour at night,3 years ago,´ëÆ÷Ç×¼ö»ê½ÃÀå,°­¿øµµ ¼ÓÃÊ½Ã ´ëÆ÷µ¿ ´ëÆ÷Ç×Èñ¸Á±æ 59,38.1742891,128.6059161
Josh Vinno, 4 stars ,just imagine you can buy seafood fresh from the sea,3 years ago,´ëÆ÷Ç×¼ö»ê½ÃÀå,°­¿øµµ ¼ÓÃÊ½Ã ´ëÆ÷µ¿ ´ëÆ÷Ç×Èñ¸Á±æ 59,38.1742891,128.6059161
jang kenny kh, 4 stars ,if u like to taste hoe  sashimi  raw fush mustle   u have many choices here  every resto serves it,2 years ago,´ëÆ÷Ç×¼ö»ê½ÃÀå,°­¿øµµ ¼ÓÃÊ½Ã ´ëÆ÷µ¿ ´ëÆ÷Ç×Èñ¸Á±æ 59,38.1742891,128.6059161
Duyan Bukid, 5 stars ,great place to eat super fresh king crab and beautiful lobster   will definitely visit again,a year ago,´ëÆ÷Ç×¼ö»ê½ÃÀå,°­¿øµµ ¼ÓÃÊ½Ã ´ëÆ÷µ¿ ´ëÆ÷Ç×Èñ¸Á±æ 59,38.1742891,128.6059161
Dongchan Kim, 5 stars ,fresh fish and fried shrimp,3 years ago,´ëÆ÷Ç×¼ö»ê½ÃÀå,°­¿øµµ ¼ÓÃÊ½Ã ´ëÆ÷µ¿ ´ëÆ÷Ç×Èñ¸Á±æ 59,38.1742891,128.6059161
Gene Lee, 1 star ,it was cheaper and nice before but now everything is expensive especially the,a year ago,´ëÆ÷Ç×¼ö»ê½ÃÀå,°­¿øµµ ¼ÓÃÊ½Ã ´ëÆ÷µ¿ ´ëÆ÷Ç×Èñ¸Á±æ 59,38.1742891,128.6059161
QuÃ¢n Phan, 5 stars ,rainy day  a bit cold,3 years ago,´ëÆ÷Ç×¼ö»ê½ÃÀå,°­¿øµµ ¼ÓÃÊ½Ã ´ëÆ÷µ¿ ´ëÆ÷Ç×Èñ¸Á±æ 59,38.1742891,128.6059161
ARUNz, 3 stars ,lot of fresh sea food and dried sea food options are avilable many stores are there,2 years ago,´ëÆ÷Ç×¼ö»ê½ÃÀå,°­¿øµµ ¼ÓÃÊ½Ã ´ëÆ÷µ¿ ´ëÆ÷Ç×Èñ¸Á±æ 59,38.1742891,128.6059161
TB Foo, 5 stars ,nice place for seafood lover here  very clean and nice  even the clab need to go for shower,3 years ago,´ëÆ÷Ç×¼ö»ê½ÃÀå,°­¿øµµ ¼ÓÃÊ½Ã ´ëÆ÷µ¿ ´ëÆ÷Ç×Èñ¸Á±æ 59,38.1742891,128.6059161
OrangeFox, 5 stars ,good place for dating,3 years ago,´ëÆ÷Ç×¼ö»ê½ÃÀå,°­¿øµµ ¼ÓÃÊ½Ã ´ëÆ÷µ¿ ´ëÆ÷Ç×Èñ¸Á±æ 59,38.1742891,128.6059161
