name,rating,review,date,attraction,address,latitude,longitude
T Q, 5 stars ,i visited seoraksan during the pandemic at the end of apr 2022 and went up via the ulsanbawi route  it is recommended that you get the naver map to help you plan in advance  but the road signs there are pretty clear  it is also advisable to arrive earlier before 9 am as it tends to get really crowded after 10  that was what i experienced when i descended the mountain  do also note the the price of entrance ticket is now 4500 won  you could get there with bus 7 if you live near the coastal area  and the bus comes every 20 min or so  journey took about an hour to reach the seorakdong entrance  be rewarded by the beautiful scenery,3 months ago,설악국립공원,강원도 속초시 설악동,38.1573652,128.4333334
Bryan Rosenraouch, 5 stars ,seoraksan is the highest mountain in the taebaek mountain range in the gangwon province in eastern south korea  it is located in a national park near the city of sokcho  after the hallasan volcano on jeju island and jirisan in the south  seoraksan is the third highest mountain in south korea  the daechongbong peak of seoraksan reaches 1 708 meters  5 603 feet   the mountain is sometimes considered the backbone of south korea  i recommend to bring with you enough drinks and food as the walk and climbing to the top is long which takes ten hours but it is worth every minute with all the nature and the unusual and unforgettable views,5 months ago,설악국립공원,강원도 속초시 설악동,38.1573652,128.4333334
Caramel Latte, 5 stars ,fantastic experience  one of the most attractive mountains to visit in korea republic  i highly recommend to visit,a month ago,설악국립공원,강원도 속초시 설악동,38.1573652,128.4333334
Ruslman, 5 stars ,we will be back to mt  seorak   this place was absolutely beautiful   there was something for everyone  sightseeing  hiking  eating and shopping   we spent the whole day hiking trails and enjoying the outdoors   we did take the gondola ride to the top as well for some beautiful views of the surrounding area   i would recommend doing that first as the lines will only get longer as the time gets later   the views at seoraksan left me speechless  so i will let the pictures do the talking   enjoy,3 years ago,설악국립공원,강원도 속초시 설악동,38.1573652,128.4333334
Chiranjeev Maini, 5 stars ,simply brilliant  go for a weekend getaway with your friends  get lost in the woods  enjoy cable car to reach one of the peaks  not a lot of people venture out to see a buddhist temple  however if you are an adventure enthusiast  do not miss visiting the temple  you can also choose multiple tails for hiking or trekking  multiple shops are open at the base of national park to try out a lot of good food and beverages  it can get a little humid during summers but still it s worth a visit  i would definitely visit again,3 years ago,설악국립공원,강원도 속초시 설악동,38.1573652,128.4333334
Camila, 5 stars ,definitely amazing  it is crowded during fall season  october  november  but i recommend going anyways because the colors are beautiful  entrance fee is 3 500 won  the cable car that goes up a hill  gwongeumseong fortress  not to ulsanbawi  is 10 000 won  you can see cute squirrels all over the park  there are shelters were you can stay the night to continue hiking the next day  it is opened from 9am to sunset,2 years ago,설악국립공원,강원도 속초시 설악동,38.1573652,128.4333334
Ree Anderson, 5 stars ,beautiful part with much to see  we went on a 4 hour hike up to the mountain rocks which look like a picket fence  only do this trail if you re physically fit as there are many stairs and rockery  we went on a cloudy rainy day but it was still enjoyable,4 years ago,설악국립공원,강원도 속초시 설악동,38.1573652,128.4333334
Malcolm Yow, 5 stars ,was blown away by the nature and awesomeness  would of spent a whole day here if i knew it was going to be this good  even though i went in dec it was still great  it would be even better in autumn or spring  pictures don t do it justice,2 years ago,설악국립공원,강원도 속초시 설악동,38.1573652,128.4333334
Jessica Horine, 5 stars ,very user friendly park esp for western  english speaking  visitors  all signs also in english  maps available in english  naver map system gets you here easily if you are driving  parking looks difficult if you get here past 10am though  we stayed at the kensington and walked in and saw lines of cars daily  entrance fee is 3 500kw per day and the hikes are very well marked and traveled  we only did outer seoraksan trails and it was crowded but pleasant on a september weekend  everyone appreciated our limited hangul  many hiking clubs trekking about  plenty of food   snacks and trinkets for sale  the gondola is a must  ulsanbowi a must  waterfalls a little anticlimactic,3 years ago,설악국립공원,강원도 속초시 설악동,38.1573652,128.4333334
Nuhyil, 5 stars ,great place for hiking there are lots to explore if you are up for a day trip this is the place there is a cable car service to the top of mountain which is 10k per head kinda worth it,3 years ago,설악국립공원,강원도 속초시 설악동,38.1573652,128.4333334
