name,rating,review,date,attraction,address,latitude,longitude
Eva Bajec, 5 stars ,love it   this national park iz a must see while traveling in south korea       i would recommend you go to on ulsanbawi rock hike   views in between and on the top are amazing      i was 1 5h hike  one way  but its easy    you don t,a month ago,설악산국립공원,강원도 속초시 설악동,38.1727111,128.4938038
Richard Jurasek, 5 stars ,amazing park  the gonola was an excellent highlight and if you go up the gondola  please do the 5 minute short hike to the top  fantastic views  do be warned that there is a bit of a drop off at the top so stay away from the edge  lots of signage though so dont worry   we also did the waterfalls hike  it took about 3 hours round trip  if you do this hike  the final section that goes up many stairs is well worth it  but alot harder than the beginning section of the trail,a week ago,설악산국립공원,강원도 속초시 설악동,38.1727111,128.4938038
Bridgette See, 5 stars ,amazing trek  we took the  advanced  and  expert  route from osaek trailhead  namseorak  up to daecheongbong peak  took about 3 5 hours  make sure you are well  conditioned for it  lots of rocky slopes but very enjoyable  good walking shoes  trekking poles  water  food and appropriate apparel a must  check weather forecast before going  sometimes this trail may be closed due to bad weather  very cold and blustery at summit even in june  went down by the longer 11km route via the shelters to the main seoraksan entrance  took about 6 hours  so in total about 10 hours from start to finish including rest stops  have fun,2 months ago,설악산국립공원,강원도 속초시 설악동,38.1727111,128.4938038
Nosi Krause, 5 stars ,it s so beautiful  being surrounded by nature is so relaxing  everything feels big and majestic  definitely worth it  there are easy to difficult hikes fit for all types of fitness levels  do it  go  the cable car is so worth it,a year ago,설악산국립공원,강원도 속초시 설악동,38.1727111,128.4938038
H Na, 5 stars ,beautiful mountainside  took the cable car up  dont forget the cable car ride needs to take place within 15 minutes of ticketing  i recommend wearing sneakers if you re trying to walk upto a bit past the cable car station,11 months ago,설악산국립공원,강원도 속초시 설악동,38.1727111,128.4938038
M. Herrn, 5 stars ,one of the most beautiful and popular national parks in south korea  a lot to do there,a week ago,설악산국립공원,강원도 속초시 설악동,38.1727111,128.4938038
Fy Qiu, 5 stars ,oct 2019  if you stayed at the kensington hotel nearby  you would be able to start the day early  and complete two trails in a day  just before sun sets   ulsanbawi rock trail and after lunch  biryong waterfall trail  lunch was great  must get their makgeoli to try,9 months ago,설악산국립공원,강원도 속초시 설악동,38.1727111,128.4938038
Kevin K, 5 stars ,great park to do hiking and sightseeing  top rate and comprehensive amenities takes the wilderness out of the hikes and provides access to areas that otherwise would be accessible only to the most fit and adventurous  but many hikes still will require a good amount of exertion,a year ago,설악산국립공원,강원도 속초시 설악동,38.1727111,128.4938038
Przemyslaw Charzynski, 3 stars ,it s ok  nothing exciting  too much human infrastructure to fully enjoy nature,a month ago,설악산국립공원,강원도 속초시 설악동,38.1727111,128.4938038
Corey Bell, 4 stars ,we took the osaek  expert  course to daecheongbong   took about 6 hours round trip  ensure you keep an eye on the weather  we got to the summit and there was zero visibility beyond 10 meters,10 months ago,설악산국립공원,강원도 속초시 설악동,38.1727111,128.4938038
Ngando Noel, 4 stars ,i enjoyed my trip around the park  they had fun activities like a cable car rides and other amazing attractions,4 weeks ago,설악산국립공원,강원도 속초시 설악동,38.1727111,128.4938038
Peder North, 5 stars ,absolutely stunning area altogether  we took a few hour trail up and ended up in a magical spot  well worth a visit  even far,11 months ago,설악산국립공원,강원도 속초시 설악동,38.1727111,128.4938038
vent greenlander, 5 stars ,one of the most beautiful places in korea  a must visit,2 months ago,설악산국립공원,강원도 속초시 설악동,38.1727111,128.4938038
Stefaan Heyvaert, 5 stars ,awesome national park  clean well maintained  you can take the cable car  to have a great view or do one of the walks  be aware that the ulsanbawi hike is a hard one with the last 1 5 km just going up stairs,2 months ago,설악산국립공원,강원도 속초시 설악동,38.1727111,128.4938038
Joakim ?쏾oki??Hall, 5 stars ,very beautiful park with a few different trails  there is a map marking out how difficult it is too walk   i recommend taking the cable car up he mountain  but try to check the weather beforehand,a year ago,설악산국립공원,강원도 속초시 설악동,38.1727111,128.4938038
Betty Wong, 5 stars ,a hard hike but well worth it,a month ago,설악산국립공원,강원도 속초시 설악동,38.1727111,128.4938038
Pat, 4 stars ,gorgeous nature area with miles of trails   very popular   we arrived at opening and got on the cable car at 0850   we left around 1030  and it was packed  with a huge line of cars waiting to get in  cable car had a neat view    the  fortress  was not quite what we were expecting   it s not ruins   it more of a defensible position  great for outdoor enthusiasts who enjoy a nice hike walk,a year ago,설악산국립공원,강원도 속초시 설악동,38.1727111,128.4938038
Joseph Polach, 5 stars ,one of the best hikes i have done in korea  if you are not an avid hiker the have a cable car to take you almost the entire way to the top   highly recommend you make a stop here and enjoy the beauty,a year ago,설악산국립공원,강원도 속초시 설악동,38.1727111,128.4938038
Mel Tigeress, 5 stars ,absolutely stunning mountains with many walks to choose from  there is also a cable car to one of the peaks which has a short closed off walk with spectacular views  beautiful in any season  if you like a challenge try the ulsan rock   lots and lots of stairs but the view is worth it,a year ago,설악산국립공원,강원도 속초시 설악동,38.1727111,128.4938038
Jq Guanga, 5 stars ,super pretty mountain  won t regret going there even in the rain  we found out it s possie to do 3 peaks in one day   and there s a lot of them,a year ago,설악산국립공원,강원도 속초시 설악동,38.1727111,128.4938038
Eza Travel, 5 stars ,nice view although it s raining,a month ago,설악산국립공원,강원도 속초시 설악동,38.1727111,128.4938038
Sin챕ad Browne, 5 stars ,wow wow wow  what an incredible place  this was our last stop in our 2 week korea trip and it left such an amazing lasting impression  the cable car wasn t operating due to high winds when we were there so i can t comment on that but the trails to the waterfalls and up to the cave were something else  leave plenty of time for photo stops  if you can  ask in advance which trails are open as some are currently closed so in order to plan your time best  it s good to know where you can and can t go  we did the waterfall trail just before dusk and it was amazing  so quiet  then we did the cave early the next morning and had the place almost to ourselves  i m sure it gets busier in midday but we found it wonderfully quiet and serene  must do in korea,2 years ago,설악산국립공원,강원도 속초시 설악동,38.1727111,128.4938038
THO TRAN, 5 stars ,i love this place so much  about 3 hour  y from seoul and 30 minutes by bus from sokcho beach  it offers you a spectacular view  with ranges of rocky mountains  old buddism temple and tranquil atmosphere  this place is very beautiful in autumn and winter time,a year ago,설악산국립공원,강원도 속초시 설악동,38.1727111,128.4938038
Jane Viesca, 5 stars ,a very popular spot for tourists and locals alike  the nature reserve and mountain is very beautiful during autumn  there are several trails for beginner hikers which also boasts the beauty of the place  if you want to visit the peak of the mountain and doesn t have all day to hike  there are cable car rentals there but during peak season such as autumn  the line for the cable car rides are long and you may need to wait  there are lots of choices for restaurants to eat lunch  and also comfort rooms are around the area,2 years ago,설악산국립공원,강원도 속초시 설악동,38.1727111,128.4938038
Hokkie Luna, 5 stars ,9hours breathtaking hiking   seriously and literally  this mountain took my breath     a full day hike seoraksan  the third highest mountain in south korea with the daecheongbong peak standing at 1 708meters  it was so challenging hiking because of the never ending rock climbing but it was 100  worth it  looking out at seoraksan was literally mesmerizing with magnificent and beautiful views,2 years ago,설악산국립공원,강원도 속초시 설악동,38.1727111,128.4938038
Isabel Morales, 5 stars ,this park is huge  a day trip will not be enough to cover half of it s beautiful sites  i do recommend to check the weather before going if you want to be able to see the views from your hikes up  weekends are a bit more crowded  since hiking is a korean hobby  parking cost us  5 ooo for the whole time we were there  they have plenty of restroom facilities  restaurants and cafes  entrance fee was  3 500 each adult  if you are llanningnon using the cable car it will be an additional charge at the cable car building,2 years ago,설악산국립공원,강원도 속초시 설악동,38.1727111,128.4938038
VT Nguyen, 5 stars ,stunning scenes in autumn season  entrance could be very crowded and packed with visitors however you should not be bothered  get in the park there will be many tracks you can enjoy  admission for entrance may close at 6pm however at 9pm still many inside,2 years ago,설악산국립공원,강원도 속초시 설악동,38.1727111,128.4938038
Agung ?쐔ongkito??Hadiyanto, 5 stars ,visit here 5 years ago for a holiday trips  it was an amazing moment  the place was beautiful and very clean  if you loves natures environment you gotta love this place  you can take cable car to higher ground and the photo spot there even more beautiful unless it s foggy day,6 months ago,설악산국립공원,강원도 속초시 설악동,38.1727111,128.4938038
Megan McQueen, 5 stars ,beautiful   3 500 won admission fee  both short easy hikes and longer more vigorous ones  also  a cable car can take you up to the top of the mountain,2 years ago,설악산국립공원,강원도 속초시 설악동,38.1727111,128.4938038
Tareq Muhmood, 5 stars ,absolutely gorgeous park that is world class   i could easily have spent 2 or 3 days hiking around this area   we came in april  but i understand autumn is the best time to come   the cable car trip is worth a go if you are short of time and want to take in the views,4 years ago,설악산국립공원,강원도 속초시 설악동,38.1727111,128.4938038
Jonathan Morashti, 4 stars ,one hour to the top of ulsan baeui  and one hour to the waterfall observatory  which was well worth it  both hikes are one way routes  so have to go back on your tracks,a year ago,설악산국립공원,강원도 속초시 설악동,38.1727111,128.4938038
Fatema Azmee, 5 stars ,beautiful place for hiked  and it s perfect for families  friends and couples  fall is the best time to go with all of the colors,a year ago,설악산국립공원,강원도 속초시 설악동,38.1727111,128.4938038
D. Pops, 5 stars ,seoraksan is by far the best national park i have ever been to   beautiful scenery everywhere you look  and amazing views of the mountain ridges  there is also a large statue of buddha and a temple there  i tried hiking to the peak  but it proved too challenging for me  however   given the chance  i would like a rematch  hopefully i ll be able to visit korea again so i can complete the hike next time   overall a wonderful experience,3 years ago,설악산국립공원,강원도 속초시 설악동,38.1727111,128.4938038
Aim, 5 stars ,fasinating place   i m so glad that i ve been there once  the surroundings were spectacular  unfortunately  i didn t manage time well so i couldn t see much of this place  i must visit here again and walk all around the national park next time for sure,2 years ago,설악산국립공원,강원도 속초시 설악동,38.1727111,128.4938038
Sharon Nabwire, 4 stars ,beautiful rock formations and views  the trails are well maintained  quite crowded especially in fall,10 months ago,설악산국립공원,강원도 속초시 설악동,38.1727111,128.4938038
Viviana Arroyo, 5 stars ,make sure you have time  everything is worth it  the entrance fee is about  4 for adults and  12 for the cable car  kids older than 12 pay adults price,2 years ago,설악산국립공원,강원도 속초시 설악동,38.1727111,128.4938038
Kai Sensei (kaisensei), 5 stars ,its very beautiful  the park is very beautiful  there are many rest stops and toilet is ok  many places to eat also  the hike is a bit tiring if you are not used to it  but the view is worth it,2 years ago,설악산국립공원,강원도 속초시 설악동,38.1727111,128.4938038
Joliene, 5 stars ,i swear this place is very therapeutic  you can choose to hike up and ride the cable car which  cost around 10000 won  or you can choose to stroll around the other area  they also have restos in this park,2 years ago,설악산국립공원,강원도 속초시 설악동,38.1727111,128.4938038
Maria Nogteva, 5 stars ,amazing parc   u can visit temples  active   eat traditional food  hi grannies from the last restaurant on the left    and climb on the top of the nearest mountain  the trails have 5 difficulty levels  you can check the details on maps at the entrance  check the rock path  it s awesome   and only 2h trail,3 years ago,설악산국립공원,강원도 속초시 설악동,38.1727111,128.4938038
Suprapti Bintari, 5 stars ,on the way to the peak  you will get a lot of beautiful scenery around,10 months ago,설악산국립공원,강원도 속초시 설악동,38.1727111,128.4938038
Winter Tate, 5 stars ,nature beauty in front our your eyes  it was a relative easy climb after the cable car ride  we headed down early in the morning to avoid the human traffic but many were already there  the weather was great although quite windy at times   the giant buddha was magnificent  at times  i thought it was better than the one at hk lantau island  but each with it s own beauty  i will miss seoraksan mountain,3 years ago,설악산국립공원,강원도 속초시 설악동,38.1727111,128.4938038
Leh Choong Chin, 5 stars ,lovely view during autumn  came early in the morning but also crowded with your buses  but it s still better than later cause the visitors kept coming even when we left around 10  in the morning  we stayed at kensington seoraksan so it was very convenient for us to visit the park as it was just 5 10mins walk away  just commute btw the hotel and the town area with the bus no  7 and 7 1  there is even a bus stop right in front of the hotel,2 years ago,설악산국립공원,강원도 속초시 설악동,38.1727111,128.4938038
Ivena Emanuela, 5 stars ,i loved to go back here again  it s super amazing how you surrounded by nature,11 months ago,설악산국립공원,강원도 속초시 설악동,38.1727111,128.4938038
鬧?? ??淚?'??, 5 stars ,amazing place very beautiful,5 months ago,설악산국립공원,강원도 속초시 설악동,38.1727111,128.4938038
