name,rating,review,date,attraction,address,latitude,longitude
James Choi, 5 stars ,enjoyable water park  hot spring  outdoor and indoor pool  sauna are available when i went here at night spa time,a month ago,설악워터피아,강원도 속초시 미시령로2983번길 111,38.2081431,128.5272503
Emmett L, 5 stars ,tuesday 16 04 2019 the fire in the area burnt right up to the main entrance  alot of the outside pools were damaged and all the outside rides were not working  but the people there and the staff were amazing  really helpful and cheerful  we went to ride the maestrom ride but you need 4 people for it  we were only two so two of the staff jumped in  my son loved it  thanks,3 years ago,설악워터피아,강원도 속초시 미시령로2983번길 111,38.2081431,128.5272503
Yingying, 4 stars ,pretty decent waterpark for summer in korea  the facilities are okay  there is also a sauna which is pretty cool  there are also food and drinks available  i had wonderful churros and green tea latte at some random cafe near the changing room,3 years ago,설악워터피아,강원도 속초시 미시령로2983번길 111,38.2081431,128.5272503
Kameron Colbert, 3 stars ,some things closed until 7 17  would be more fun for older kids if everything was open  facility was nice   water masks for covid doesnt make sense,a year ago,설악워터피아,강원도 속초시 미시령로2983번길 111,38.2081431,128.5272503
Abdullah Al Marouf, 5 stars ,wow  its amazing  at the first time i really shocked to ride on the waterpia  people from different ages  areas are enjoying this incredibly  seorak waterpia is very clean and well organized  the infrastructure and interior design of the building is very attractive  transportation of this area is very easy  staffs are so friendly and professional  my experience is always great here  i wanna go again,3 years ago,설악워터피아,강원도 속초시 미시령로2983번길 111,38.2081431,128.5272503
Moses Choi, 4 stars ,quite a large water park  but a bit dated  there are a few hallways and walkways that are now closed and seem like they haven t been used quite awhile  however  there are a lot of pools and water rides for all ages  the lazy river is great for kids and families  we thought that the water park was connected to the nearby resort  but it turns out that it is not  so you must remember to bring a change of clothes if you come here  the sauna facilities are large and have a lot of open space to relax after a long day of playing in the water,4 years ago,설악워터피아,강원도 속초시 미시령로2983번길 111,38.2081431,128.5272503
Nikki Sandschaper, 5 stars ,the water is perfect and the rides are fun  there are some food and ice cream options  if you have a swim shirt  pants  cap  and or shoes    bring them  most people will be quite covered since sunscreen is not allowed in the spring water,2 years ago,설악워터피아,강원도 속초시 미시령로2983번길 111,38.2081431,128.5272503
jenny chau, 4 stars ,we re here because the tour is included   what we ve been told we re here for hot natural spring  to be honest  at first  i choose the one could wear a swimming suit   then when i went in  it s like a big pool with warm water  not a natural spring at all  then i recalled our tour guide  said we could go to the   naked  one  which is much hotter  then i went there  they call it sauna spa  and the introduction is all korean  i m not sure if this is a natural spring   but there re so many tub with different temperatures   like 39 degrees   or 45 degrees  also  there s one outdoor too  even i m not sure if its natural spring   but it really feels good  my naked experience is worth it,3 years ago,설악워터피아,강원도 속초시 미시령로2983번길 111,38.2081431,128.5272503
Emmanuel Perez, 3 stars ,not much in the winter season  the indoor pools and sauna area is open  the rides and everything else outside are closed  during the summer should be a lot better but way more crowded,2 years ago,설악워터피아,강원도 속초시 미시령로2983번길 111,38.2081431,128.5272503
Julie Sohn, 5 stars ,korea has some of the best water parks in the world  it s far better than great wolf lodge  they have indoor buildings devoted to nothing but water spas with powerful jets lining coves and special seats built into a giant  clear water pool,5 years ago,설악워터피아,강원도 속초시 미시령로2983번길 111,38.2081431,128.5272503
