name,rating,review,date,attraction,address,latitude,longitude
Kevin K, 5 stars ,great views where the cable car takes you to   even better views if you hike up the one trail from there to get you to the highest point on that peak  fairly easy trail,3 months ago,설악케이블카,강원도 속초시 설악동 설악산로 1137,38.1730998,128.4890543
Ngando Noel, 5 stars ,very fun riding in it  the view at the peak was awesome even though the weather was a little foggy,4 weeks ago,설악케이블카,강원도 속초시 설악동 설악산로 1137,38.1730998,128.4890543
Richard Jurasek, 5 stars ,the cable car is one of the best things to do here  quite cheap   13 000   and much better than a long hike to the top  when you get your tickets they give you your boarding time so you dont have to wait in a long line up  make sure you go,a week ago,설악케이블카,강원도 속초시 설악동 설악산로 1137,38.1730998,128.4890543
Nomango, 5 stars ,it was a foggy day so basically saw nothing once up the mountain  still  the cable ride was fun and pleasant,2 weeks ago,설악케이블카,강원도 속초시 설악동 설악산로 1137,38.1730998,128.4890543
Caramel Latte, 5 stars ,a must do if visiting seoraksan  highly recommended,a month ago,설악케이블카,강원도 속초시 설악동 설악산로 1137,38.1730998,128.4890543
Linda Ligthart, 5 stars ,it was a great experience  never forget,a week ago,설악케이블카,강원도 속초시 설악동 설악산로 1137,38.1730998,128.4890543
Jeremy Rhoads, 4 stars ,the view is stunning and the place is very organized  my two complaints are 1  they have a lot of restaurants that are all the same thing but i guess that s just korean preference  2  there s too many people on the cable car  i m assuming that doesn t bother koreans but this dumb america likes his personal space  some of the other guests were super pushy,2 months ago,설악케이블카,강원도 속초시 설악동 설악산로 1137,38.1730998,128.4890543
Hong Gyu Park, 4 stars ,it s short and quick  you could do hiking after touch down around 5 to 10 minutes  there is no online ticket booking  in a big season  you d better have que early in the morning to get the ticket,a month ago,설악케이블카,강원도 속초시 설악동 설악산로 1137,38.1730998,128.4890543
Alice, 4 stars ,we had really nice weather  so we decided to go up by cabel car  it was totally worth it  we had a stunning view  this national park is really great  i m totally in love with the nature  but  you re for sure not alone  it s very touristy  people are everywhere  still  i would go there again  just for the view,2 years ago,설악케이블카,강원도 속초시 설악동 설악산로 1137,38.1730998,128.4890543
?됮쉮??Alexis, 4 stars ,a 10 mins ride up to the top  i was there in mid december and it s consider not too crowded   you can buy tickets at their ground floor office   the cable cars are at the upper level   the return fare is w10 000   please keep your ticket as you need it to enter the cable car when you go down   there s audio introductions of the peaks  mountain but in korean as the cable car is going upwards,2 years ago,설악케이블카,강원도 속초시 설악동 설악산로 1137,38.1730998,128.4890543
Isabel Morales, 5 stars ,excellent view  the cable car system has a time table  during the time we waited  which was about an hour  we ate at one of the facilities inside the cable car building  they also have a gift shop and a cafe to enjoy while waiting for your turn  they have restroom facilities right outside as well  and outside tables with umbrellas  just make sure you re in the second floor 5 mins prior to your departure time  the ride is  11 000 per adult,2 years ago,설악케이블카,강원도 속초시 설악동 설악산로 1137,38.1730998,128.4890543
deb3012, 4 stars ,i went here on oct 18th  i thought the trees already changed the color  but i was disappointed  plus the cars  there were sooo many cars  so i decided to park my car in front of cu  there is a big parking lot and we walked like for 40 min to reach the national park  then we bought cable car ticket  50 ppl per ride max  lucky it was awesome up there,a year ago,설악케이블카,강원도 속초시 설악동 설악산로 1137,38.1730998,128.4890543
Megan McQueen, 5 stars ,when you go to buy the tickets  make sure to get there early because you reserve the ticket for a few hours after the purchase  also  the last car down the mountain leaves at 5 30 pm  beautiful at the top,2 years ago,설악케이블카,강원도 속초시 설악동 설악산로 1137,38.1730998,128.4890543
Nosi Krause, 5 stars ,its lovely  definitely worth it  theres so much to see and experience   they also have refreshments and snacks available at the top,a year ago,설악케이블카,강원도 속초시 설악동 설악산로 1137,38.1730998,128.4890543
Patrick O'Brien, 5 stars ,this is one of the most beautiful things i ve ever experienced   this is a must do if you go to korea  get to the east coast and get to seorak mountain national park  one of the most beautiful places anywhere  go early because it gets very busy fast,3 years ago,설악케이블카,강원도 속초시 설악동 설악산로 1137,38.1730998,128.4890543
Kai Sensei (kaisensei), 5 stars ,awesome view  also its only 5 minutes ride from one place to the other  you have to go there early or else you will face a long line,2 years ago,설악케이블카,강원도 속초시 설악동 설악산로 1137,38.1730998,128.4890543
"KENNY,KH JANG", 4 stars ,u can go to mountain top area in 5 minutes riding on cable car   9 per adult   5 for children  if u want to ride cable car  u try to buy ticket first before eating  then u can save ur time for waiting  in peak season  2 hours waiting time is normal  if u buy ticket first  waiting time will be 30 minute after eating or walking nearby,3 years ago,설악케이블카,강원도 속초시 설악동 설악산로 1137,38.1730998,128.4890543
Megan Don, 4 stars ,the cable car was easy  and the view up and down was pretty  i was a little disappointed by what we found when we got to the top  we followed the crowd of people up stairs to a nice view point  but it seemed to stop there  it was still an area full of people  and i was unable to see ulsanbawi rock from here  which i hoped for  you can see it in the cable car  but that s it  then you follow a crowd back down the narrow stairs path back to the cable car down  i think i d have preferred to hike to the waterfall  instead of taking the cable car,a year ago,설악케이블카,강원도 속초시 설악동 설악산로 1137,38.1730998,128.4890543
Andy Au, 5 stars ,it was an amazing trip and hiking to the top of mountain  really enjoy the view  it was a spectacular view  fresh air and relaxing venue  we love it and enjoy this experience,3 years ago,설악케이블카,강원도 속초시 설악동 설악산로 1137,38.1730998,128.4890543
Tinie Sani, 5 stars ,the cable car has no seats and you have to stand up along the way  don t worry because it would not take too long to reach the peak station maybe within 10 to 15 minutes  you can see the beautiful view of the mountain and its river below  enjoy thw scenery while you re in it,2 years ago,설악케이블카,강원도 속초시 설악동 설악산로 1137,38.1730998,128.4890543
Wee Keng Goh, 4 stars ,usual ride up to the top of mt seoraksan  touristy and kitschy but you know you got to do it when you are there  recommend the hiking trails around seoraksan  amazing,2 months ago,설악케이블카,강원도 속초시 설악동 설악산로 1137,38.1730998,128.4890543
Karan Castelino, 5 stars ,cable car was great  a bit crowded and touristy  but that s fine  the buddhist temple at the base of the cable car facility is a must visit,3 years ago,설악케이블카,강원도 속초시 설악동 설악산로 1137,38.1730998,128.4890543
Andrew Wang, 4 stars ,good place to enjoy little more depend your route selection   awesome view  1 of best place to travel in korea  great scenery,4 years ago,설악케이블카,강원도 속초시 설악동 설악산로 1137,38.1730998,128.4890543
MyungChan Kim, 5 stars ,if you wanna see whole city view of sokcho  this is the place where you can go  you need to pay entrance fee of seoraksan mt  and you need to pay for cable car on the site,a year ago,설악케이블카,강원도 속초시 설악동 설악산로 1137,38.1730998,128.4890543
Abdul Khadar, 4 stars ,super experience bit of long waiting time  for me it was 2hours of waiting to get in the cable car first buy the tickets then check the time of ur slot  and come back exact 10mins before your slot  if u cross the timing then 20  extra have to pay to reschedule the time so be catious about the time slot and spend ur waiting time and visit the near by places  cable car is 2min30second journey with 50 members capacity,2 years ago,설악케이블카,강원도 속초시 설악동 설악산로 1137,38.1730998,128.4890543
Leh Choong Chin, 5 stars ,fits almost 50people and time interval for waiting is less than 10mins  the ride up takes also less than 6mins,2 years ago,설악케이블카,강원도 속초시 설악동 설악산로 1137,38.1730998,128.4890543
Eat Travel Sleep Bernie's World, 5 stars ,easy access to gwongeumsong the best way to see seoraksan mountain is by taking the seorak cable car  due to its huge popularity during the peak seasons in fall and summer or during the weekends  visitors may need to wait approximately 2 to 3 hours in line for the ride  by riding up and down the cable car  visitors can view the fascinating rock formations of the gwongeumseong region as well as the sogongwon area  jeohangnyeong  and ulsanbawi rock to the north  to the northeast  downtown sokcho and the east sea comes into view,3 years ago,설악케이블카,강원도 속초시 설악동 설악산로 1137,38.1730998,128.4890543
Joanne Lim, 5 stars ,nice place  if you dont want to hike  take the cab car  and walk another 15mins up to the summit  it s quite an easy climb up  although not disabled friendly,3 years ago,설악케이블카,강원도 속초시 설악동 설악산로 1137,38.1730998,128.4890543
Krishna Sharma V E, 4 stars ,the ride is about 5 mins long  every 5 mins there are services  but the waiting for your slot can be up to hours  once you reach there you should take your tickets and then you can enjoy the park  there are buddhist temples  cafe  etc available  entry fee to the park is 3500 won and cable car round trip fee is 10000 won  plan your journey for spending a full day atleast,3 years ago,설악케이블카,강원도 속초시 설악동 설악산로 1137,38.1730998,128.4890543
Darius Ching, 5 stars ,this can be a very nice place to see autumn leaves  temple sculptures were beautiful and reflected well on korean infused buddhism,3 years ago,설악케이블카,강원도 속초시 설악동 설악산로 1137,38.1730998,128.4890543
Glory Rivera, 5 stars ,loved it,2 months ago,설악케이블카,강원도 속초시 설악동 설악산로 1137,38.1730998,128.4890543
Ray Teggin, 4 stars ,cable car goes brrrrrr,a week ago,설악케이블카,강원도 속초시 설악동 설악산로 1137,38.1730998,128.4890543
John Tinsworth, 5 stars ,awesome view at the top  can be very windy but it s quite safe  if you have a real phobia of heights it may not be for you  but the area by the cable car is comfy and offers a good view if you don t want to climb up  the peak is about 5 minutes from the cable car and is a relatively easy climb,10 months ago,설악케이블카,강원도 속초시 설악동 설악산로 1137,38.1730998,128.4890543
