name,rating,review,date,attraction,address,latitude,longitude
T Q, 3 stars ,it s a wonderful market that sells various seafood commodities and street food  however  it is too crowded and many stalls draw in long queues  prices are definitely not cheap  in fact a soup dish with side dishes in restaurants are much,2 months ago,속초관광수산시장,강원도 속초시 중앙동 중앙로147번길 16,38.2046527,128.5869323
Dan G, 4 stars ,seafood and fish market  most of the food stands sell fried food  so for vegetarians there is almost nothing to eat  also there are a few traditional deserts like beer bread and local drinks  get your google translate ready  english is not well spoken,2 weeks ago,속초관광수산시장,강원도 속초시 중앙동 중앙로147번길 16,38.2046527,128.5869323
Liah Cha, 4 stars ,it s a bit crowded  various restaurants are located in the market   in particular  you can mainly eat sashimi and seafood   it is fun to walk while watching fresh seafood alive   however  it was a bit uncomfortable when passing by because most of the merchants were soliciting   there are quite a lot of famous tempura and crab restaurants  so it was difficult to choose one   it is a mainly tourist destination  so the price of foods are a bit expensive,a year ago,속초관광수산시장,강원도 속초시 중앙동 중앙로147번길 16,38.2046527,128.5869323
Adam Cohen, 5 stars ,wow if you are in sokcho you need to come here  this is one of the best markets i have ever been to so vibrant with delicious korean food  it s centrally located and i went three times in two days it is simply wonderful,2 years ago,속초관광수산시장,강원도 속초시 중앙동 중앙로147번길 16,38.2046527,128.5869323
Maria Ara첬jo, 3 stars ,i am not really sure what i was expecting  to be honest  there are a lot of fish and fish stands  i mean  a lot  but the market is not very lively  we went at 5pm and everything was practically closed or without anyone around  there weren t a lot of food stalls and i am not sure if i would eat in one of there were  seeing all the fish drying outside is quite disturbing  it was a different experience though,3 years ago,속초관광수산시장,강원도 속초시 중앙동 중앙로147번길 16,38.2046527,128.5869323
Andy Saiden, 4 stars ,the market has a unique variety of produce ranging from fresh fish to deep fried chicken  try your best to avoid the market on saturdays as it is super crowded with people lining up just to purchase from stalls  it s a unique experience to see the local delights on offer  and it is not watered down for tourists,3 years ago,속초관광수산시장,강원도 속초시 중앙동 중앙로147번길 16,38.2046527,128.5869323
Jocelyn ying, 4 stars ,it s quite a big market and near to the another tourist spot which the gaesbae shipdock  it s very interesting walking inside as it quite clean and sell a lot of seafood  besides seafood also have a lot of cooked food   it s very lively and so many people there,2 years ago,속초관광수산시장,강원도 속초시 중앙동 중앙로147번길 16,38.2046527,128.5869323
El탉bieta Lasota, 3 stars ,fish market in sokcho  there are some seafood restaurants and many food stalls but the seafood offer is limited  i expected more  i had a crab pancakes  15000 won  it was good but not amazing,2 years ago,속초관광수산시장,강원도 속초시 중앙동 중앙로147번길 16,38.2046527,128.5869323
June Lee, 5 stars ,big old traditional market   i was surprised with a huge crowd in the market  there are so many scrumptious food shops that s gonna give you a hard time to choose what to have  try a little bit of everything  fresh crabs  crunch fried shrimps  even  a bite size kim bob rolls   it is definitely must  visit market in sok sho,3 years ago,속초관광수산시장,강원도 속초시 중앙동 중앙로147번길 16,38.2046527,128.5869323
Rendy Bahri, 4 stars ,u can try many kind of food famous in sokcho specially  i recommend one korean sweet spicy chicken and some delicious food as shown in photo  u wont regret the taste  this place is very lively and will be very crowded on holiday and night   u must try fried bread as shown photo below,4 years ago,속초관광수산시장,강원도 속초시 중앙동 중앙로147번길 16,38.2046527,128.5869323
Leh Choong Chin, 5 stars ,had red snow crab at this restaurant  set meal for two is 50000won comes with 3crabs  2fried rice in crab shell and 1bowl of ramyeon  the side dishes were nice too esp the squid one      the owners were nice and friendly,2 years ago,속초관광수산시장,강원도 속초시 중앙동 중앙로147번길 16,38.2046527,128.5869323
Winter Tate, 5 stars ,great market with all the local selections available at a reasonable cost  we had the squid with some rice stuffing inside which tasted perfect  it costed 10k won  we also bought a steam cake with had a long queue and it costed 3 5k won  the chicken box was the number one rating and it cost 18k won  seriously  that box was good enough to feed 4 paxes   the prawn fritters were very good too  at least 1k won each   infact they also had one with a real crab legs  also 1k won each,3 years ago,속초관광수산시장,강원도 속초시 중앙동 중앙로147번길 16,38.2046527,128.5869323
Tareq Muhmood, 5 stars ,a great experience to stroll through this market   the fresh seafood produce in the basement is something not to miss   some of the other fried food can be a bit stale  so do be careful when sampling the food   a fun and busy market,4 years ago,속초관광수산시장,강원도 속초시 중앙동 중앙로147번길 16,38.2046527,128.5869323
SARAH KIM, 2 stars ,well    first of all  it was expensive  it was good because there was a parking lot and it was organized well  but it was a bit disappointing because they sell similar things  but it was expensive because the economy is not good these days  so i just went to e mart,3 months ago,속초관광수산시장,강원도 속초시 중앙동 중앙로147번길 16,38.2046527,128.5869323
pedro Sanchez, 5 stars ,an extremely unique spot in korea  the wide array of seafood  fried goodies and chicken are all delicious  they also gave an incredible frozen yogurt shop,a year ago,속초관광수산시장,강원도 속초시 중앙동 중앙로147번길 16,38.2046527,128.5869323
Al U, 3 stars ,the most popular destination in this town  it has many small fun shops and street food venders  but very crowded as you can expected everything is pricey,2 months ago,속초관광수산시장,강원도 속초시 중앙동 중앙로147번길 16,38.2046527,128.5869323
patricia taylor, 3 stars ,if you re interested in these sorts of places it s all for you  chuck full of seafood and little stores with daily needs  it s an outdoor type market,a month ago,속초관광수산시장,강원도 속초시 중앙동 중앙로147번길 16,38.2046527,128.5869323
Alex HERVET, 5 stars ,great place  restaurants are mixed in between fish booths  you choose your fish and 5 minutes later it is in your plate  or you find one restaurant and discuss the price per head for a great sashimi,3 years ago,속초관광수산시장,강원도 속초시 중앙동 중앙로147번길 16,38.2046527,128.5869323
?逵畇逵 ?棘戟?逵?棘勻逵, 5 stars ,we walked along this street today  we were invited to kindly stop by and have lunch at one of the cafes   they prepared a delicious mussel soup and served traditional korean snacks   until very late in the evening we did not want to eat   if you want to try seafood  eat in a relaxed atmosphere  then here,2 years ago,속초관광수산시장,강원도 속초시 중앙동 중앙로147번길 16,38.2046527,128.5869323
D. Pops, 5 stars ,amazing central market in the heart of sokcho  there are all kinds of foods  especially seafood and it is all delicious  the place is one huge labrynth of eateries,2 months ago,속초관광수산시장,강원도 속초시 중앙동 중앙로147번길 16,38.2046527,128.5869323
Jack, 4 stars ,overall a great market for some genuine korean food at a decent price  there is a lot of variety and countless shops to choose from  that said  there are some things to look out for  first  a lot of the shops have a propensity to precook their food then reheat it when you purchase it  or not at all  it s a good idea to insist on the freshly made ones and definitely do not buy anything that s turned stone cold or looks like it sat around all day  the fried foods are a prime example of this  second  if you are adventurous then you should venture into a seafood shop where they have fresh live seafood on display out front  the best ones are in the basement of a building  you ll know by walking down some stairs past the restrooms  there s a huge sprawling area filled with koreans eating fresh seafood and sitting at low tables  to eat here  you ll have to negotiate the price of some amount of seafood you ll pick from the tanks  i repeat  you must negotiate the price of the seafood lower and don t ever let them lead you to believe the free  service  food they give you is actually worth anything  good luck,5 years ago,속초관광수산시장,강원도 속초시 중앙동 중앙로147번길 16,38.2046527,128.5869323
Alicia Lee, 5 stars ,it was a great local experience  their chicken is a must try  market is clean and the locals are very friendly too  i would visit again,a month ago,속초관광수산시장,강원도 속초시 중앙동 중앙로147번길 16,38.2046527,128.5869323
Nawie Kim, 5 stars ,i love the market so much  lots of street food  snacks  especially huge number of stalls specializing fishery  even if i were a resident  i would go there for grocery shopping,a year ago,속초관광수산시장,강원도 속초시 중앙동 중앙로147번길 16,38.2046527,128.5869323
Jose Hernandez, 5 stars ,there s definitely something fishy about this place  seriously tho the food was amazing and the atmosphere is definitely an experience  would love to come back here  so much to see,a year ago,속초관광수산시장,강원도 속초시 중앙동 중앙로147번길 16,38.2046527,128.5869323
