name,rating,review,date,attraction,address,latitude,longitude
Yto H, 5 stars ,climb up some stairs and you can have a nice view of the city  it is free  and washrooms are available,3 years ago,속초등대,강원도 속초시 영랑동 영금정로5길 8-28,38.2136895,128.5977782
Shin Henry, 4 stars ,breathtaking    amazing and cheap to be up to the highest part with 10000won,4 years ago,속초등대,강원도 속초시 영랑동 영금정로5길 8-28,38.2136895,128.5977782
M. Herrn, 5 stars ,beautiful point of view,a week ago,속초등대,강원도 속초시 영랑동 영금정로5길 8-28,38.2136895,128.5977782
Chaeri Han, 5 stars ,beautiful place in korea that is only 2 hours by car away from seoul  great seafood and parks  awesome market filled with local foods unique to the region like their chicken  seafood rolls and ice cream  beaches are clean and there are lots of motels around,4 years ago,속초등대,강원도 속초시 영랑동 영금정로5길 8-28,38.2136895,128.5977782
Alecia Thomson, 5 stars ,great 360 view of seokcho and the ocean from the lookout  free of charge and a good walk up,2 years ago,속초등대,강원도 속초시 영랑동 영금정로5길 8-28,38.2136895,128.5977782
Ivan Llesis, 5 stars ,great place more especially for fishing  waiting for sunrise and sunset,2 years ago,속초등대,강원도 속초시 영랑동 영금정로5길 8-28,38.2136895,128.5977782
Benjamin MICHONNET, 5 stars ,nice view on the top  360  view over the city and the national park,3 years ago,속초등대,강원도 속초시 영랑동 영금정로5길 8-28,38.2136895,128.5977782
Matthieu Blancheton, 4 stars ,great view  too bad it closes early the evening,5 years ago,속초등대,강원도 속초시 영랑동 영금정로5길 8-28,38.2136895,128.5977782
Ethan Ngai, 5 stars ,a vantage point to see over the sokcho city it s free,3 years ago,속초등대,강원도 속초시 영랑동 영금정로5길 8-28,38.2136895,128.5977782
Swetha Gopalakrishnan, 3 stars ,i think the beach below the lighthouse is nicer,5 years ago,속초등대,강원도 속초시 영랑동 영금정로5길 8-28,38.2136895,128.5977782
Yun Li, 5 stars ,good tourist place,4 years ago,속초등대,강원도 속초시 영랑동 영금정로5길 8-28,38.2136895,128.5977782
Richie, 5 stars ,amazing,2 years ago,속초등대,강원도 속초시 영랑동 영금정로5길 8-28,38.2136895,128.5977782
Andy Kang, 5 stars ,good,6 years ago,속초등대,강원도 속초시 영랑동 영금정로5길 8-28,38.2136895,128.5977782
Morgane, 5 stars ,i love this place too much you have an incredible panoramic view   ps  it s better if you go there when the weather is nice       j aime trop cet endroit vous avez une vue panoramique incroyable   ps   c est mieux si vous y allez quand il fait beau,a year ago,속초등대,강원도 속초시 영랑동 영금정로5길 8-28,38.2136895,128.5977782
?逵畇逵 ?棘戟?逵?棘勻逵, 5 stars ,a very beautiful gazebo  which offers beautiful views of the city and the sea coast    ,2 years ago,속초등대,강원도 속초시 영랑동 영금정로5길 8-28,38.2136895,128.5977782
Carolina Luz, 5 stars ,beautiful  loved it      lindo  amei,4 years ago,속초등대,강원도 속초시 영랑동 영금정로5길 8-28,38.2136895,128.5977782
Corentin Menthonnex, 3 stars ,mouai blah     the view of the city from above is not breathtaking  the view is more fun from the pavilions      mouai bof    la vue de la ville d en haut n est pas   couper le souffle  la vue est plus sympa depuis les pavillons,3 years ago,속초등대,강원도 속초시 영랑동 영금정로5길 8-28,38.2136895,128.5977782
Alexander Uttendorfer, 5 stars ,beautiful beach  but only from the months around june      sch ner strand  aber erst ab den monaten um juni,6 years ago,속초등대,강원도 속초시 영랑동 영금정로5길 8-28,38.2136895,128.5977782
棘剋筠均 剋龜, 4 stars ,super      ,4 years ago,속초등대,강원도 속초시 영랑동 영금정로5길 8-28,38.2136895,128.5977782
Axel Reymond, 4 stars ,nice place     endroit sympa,2 years ago,속초등대,강원도 속초시 영랑동 영금정로5길 8-28,38.2136895,128.5977782
