name,rating,review,date,attraction,address,latitude,longitude
Marie&Phill Travel612vlog, 4 stars ,beautiful beach has white sand  clean and well maintain love it  but there s a lot of jellyfish,a month ago,속초해변,강원도 속초시 조양동 해오름로 186,38.1905764,128.5947655
The Adventurer, 5 stars ,first opened in 1976  sokcho beach is one of korea s most popular beaches  it is located a short walking distance from sokcho express bus terminal  making it popular among tourists  the waters here are clean and shallow  adding to the popularity of this beach during the summer season  there are also many restaurants and convenience facilities located near the beach  as well as a small park with walking trails through a pine forest  along the beach  visitors can find interesting and unique photo spots and sculptures  busking performances and festivals also take place throughout the year,a year ago,속초해변,강원도 속초시 조양동 해오름로 186,38.1905764,128.5947655
Udo Wagener, 5 stars ,great beach with a beautiful view of a every small island   frequent fireworks on weekends  not sure about weekdays   safe area  and you are allowed to pitch a tent on the beach and camp  for free       surrounded by many coffee shops and restaurants  public showers and toilets in the parking area  in the event that you want to camp,a year ago,속초해변,강원도 속초시 조양동 해오름로 186,38.1905764,128.5947655
Kyuwon Lee, 5 stars ,a beautiful  serene beach located not far from the sokcho downtown area  the seaside path leads to the brand new resort nearby  there are coffee shops and dessert places that are worth checking out along the beach  too,a year ago,속초해변,강원도 속초시 조양동 해오름로 186,38.1905764,128.5947655
Nippon Fraser, 4 stars ,nice but a little crowded for my taste  water wasn t particularly bad but not very clear blue  parking around wasn t too bad like other beaches i ve been to in korea,a year ago,속초해변,강원도 속초시 조양동 해오름로 186,38.1905764,128.5947655
Md. Imrul Reza Shishir, 5 stars ,sokcho beach   is really a nice pleasant beach  the transportation around the beaches is really regular and comfortable  the washroom near beachside is really clean and has water facilities  there are many family fun activities around the beaches  you will like the korean food specially street food like squid grill  crab  shrimp fry  me and my family had pleasant experience,3 years ago,속초해변,강원도 속초시 조양동 해오름로 186,38.1905764,128.5947655
?됮쉮??Alexis, 4 stars ,a great tourist spot  good photography spot for instagramming   beautiful   clean beach with toilets   changing rooms facilities   it s just less than 10 mins walk from sokcho express bus terminal   passed lots of fresh seafood restaurants on our way   food stalls from evening to late night at the parking lot  if you have time  take a stroll along the beach using the path,2 years ago,속초해변,강원도 속초시 조양동 해오름로 186,38.1905764,128.5947655
Mev A-M, 1 star ,i am caribbean  so very few beaches impress me  the water is not blue but it was iced cold   the sand was like sandpaper   wear sandals   there are a few areas that are picture worth  plenty of street food  and available parking   we visited during the week days  i liked that it wasn t trashed,4 years ago,속초해변,강원도 속초시 조양동 해오름로 186,38.1905764,128.5947655
Camila, 5 stars ,beautiful beach with a wide line of sand  the water is so clear and has a good temperature even thought swimming is not allowed  october 2019   recommended,2 years ago,속초해변,강원도 속초시 조양동 해오름로 186,38.1905764,128.5947655
Lejesz, 5 stars ,jesus christ loves you all please praise god jesus is king of kings jesus is lord of lords blessed are those who love god before anyone may god bless you  your family  friends and our enemies may god bless our enemies may god be with you  your family  friends and may god be with our enemies  amen,a month ago,속초해변,강원도 속초시 조양동 해오름로 186,38.1905764,128.5947655
