name,rating,review,date,attraction,address,latitude,longitude
Jerry ?úomdica??H, 5 stars ,this is a temple by the sea of sok cho   the temple site is looking out to beautiful ocean and very peaceful  take your time and look around  has lots of history  just view of the ocean from this temple is worth the trip,8 months ago,Ω≈»ÔªÁ,∞≠ø¯µµ º”√ Ω√ º≥æ«µø º≥æ«ªÍ∑Œ 1137,38.1758167,128.4143223
Tim Chambers, 5 stars ,sinheungsa    new renaissance temple    the landscape  sights  and beauty draw in and  bring a beautiful calm to anyone   hikers will thrill in the miles of trails and scenery   the architecture is beautifully crafted and do well to honor buddha   a must see when visiting sokcho,a year ago,Ω≈»ÔªÁ,∞≠ø¯µµ º”√ Ω√ º≥æ«µø º≥æ«ªÍ∑Œ 1137,38.1758167,128.4143223
Anil Katti, 5 stars ,a great weekend getaway  good place to enjoy autumn colors  the place is really cool and serene  good for a quick treck to ulsanbawi also  it s plastic free and neat  you can reach here by public transport  there are restaurants and souvenir shops  you can spend a whole day  if planning for a trek  good to go in the morning  happy trekking,2 years ago,Ω≈»ÔªÁ,∞≠ø¯µµ º”√ Ω√ º≥æ«µø º≥æ«ªÍ∑Œ 1137,38.1758167,128.4143223
Ranjith Kumar, 4 stars ,best place for your autumn season  you can visit before autumn starts to see elegance of forest and river side  there are some restaurants too  but don t expect much on quality and quantity  spend some time to reach biseondae   it takes about 1 hr to reach there  if you are fit and strong in climbing then visit geumganggul cave  plastic free environment  morning time would be good,2 years ago,Ω≈»ÔªÁ,∞≠ø¯µµ º”√ Ω√ º≥æ«µø º≥æ«ªÍ∑Œ 1137,38.1758167,128.4143223
Donna Kang, 5 stars ,very cool giant budda welcimes you  starting point of seorak mount hiking  from here you can choise either the cable car riding or hike,2 years ago,Ω≈»ÔªÁ,∞≠ø¯µµ º”√ Ω√ º≥æ«µø º≥æ«ªÍ∑Œ 1137,38.1758167,128.4143223
Margaret Lehmann, 5 stars ,beautiful views from a beautiful temple  there is a lot of hiking trails around as well  a few cafes and such   there is even a lotteria  this area is well worth a visit,3 years ago,Ω≈»ÔªÁ,∞≠ø¯µµ º”√ Ω√ º≥æ«µø º≥æ«ªÍ∑Œ 1137,38.1758167,128.4143223
Sin√©ad Browne, 5 stars ,very impressive buddha statue and incredible views of the park  you pass by it on the way to a lot of the trails and it s definitely worth a visit to the temple buildings for 15 mins at least,2 years ago,Ω≈»ÔªÁ,∞≠ø¯µµ º”√ Ω√ º≥æ«µø º≥æ«ªÍ∑Œ 1137,38.1758167,128.4143223
Patrick O'Brien, 5 stars ,awesome place with unique features  including a beautiful river located earlier in the beginning of seorak mountain national park  a must see,3 years ago,Ω≈»ÔªÁ,∞≠ø¯µµ º”√ Ω√ º≥æ«µø º≥æ«ªÍ∑Œ 1137,38.1758167,128.4143223
William Rogers (Will), 2 stars ,large selection of buildings currently undergoing renovation work  there is a limited amount to see as a tourist and no information about the buildings on display,2 years ago,Ω≈»ÔªÁ,∞≠ø¯µµ º”√ Ω√ º≥æ«µø º≥æ«ªÍ∑Œ 1137,38.1758167,128.4143223
Przemyslaw Charzynski, 3 stars ,temple like many others,a month ago,Ω≈»ÔªÁ,∞≠ø¯µµ º”√ Ω√ º≥æ«µø º≥æ«ªÍ∑Œ 1137,38.1758167,128.4143223
Camila, 3 stars ,the only thing i liked about the temple is the huge beautiful buda  there was a noisy construction nearby  too crowded and the layout is weird,2 years ago,Ω≈»ÔªÁ,∞≠ø¯µµ º”√ Ω√ º≥æ«µø º≥æ«ªÍ∑Œ 1137,38.1758167,128.4143223
Madhu babu Arangam, 4 stars ,buddha temple with a big statue posing straight to soraksan peak  nice to watch,2 years ago,Ω≈»ÔªÁ,∞≠ø¯µµ º”√ Ω√ º≥æ«µø º≥æ«ªÍ∑Œ 1137,38.1758167,128.4143223
