name,rating,review,date,attraction,address,latitude,longitude
Josh Keezer, 4 stars ,this is a nice  but quick visit to get good views of the city   around the tower is has several options for tryingocsl food   there are also autobikes  small powers cars  for the kids to ride,a month ago,엑스포타워,강원도 속초시 조양동 엑스포로 75,38.1915785,128.5786351
Jocelyn ying, 4 stars ,it s quite worth to have a short stay here  we came here for the night view  but the time a bit early  so we also have some wall and rest at the park down the tower  the view of morning and night of the tower are different  so after became dark  we bought tickets and go up to see sokcho night view  it s very quiet when we there so we able  took a lot of photos at upstairs and there s not so many people  after see the night view  we came down again for it s night time colored tower,2 years ago,엑스포타워,강원도 속초시 조양동 엑스포로 75,38.1915785,128.5786351
El탉bieta Lasota, 4 stars ,tower in sokcho  you can buy a ticket  take an elevator and enjoy the view on sokcho  however  i think the view from bridge is better since you can see seoraksan mountains,2 years ago,엑스포타워,강원도 속초시 조양동 엑스포로 75,38.1915785,128.5786351
Bruna Yukari Fujii Yoshida, 5 stars ,amazing view  it s a cheap entry ticket you can observe the river and the mountains and drink coffee at the coffee shop  definitely a must go when you visit sokcho,3 years ago,엑스포타워,강원도 속초시 조양동 엑스포로 75,38.1915785,128.5786351
John Tinsworth, 3 stars ,it s 5 000 won to go up  good view of the city and mountains  but there isn t much to see  it looks cooler from the outside than inside  if you want a nice panoramic view you ll get one  but i m not sure it s worth it,10 months ago,엑스포타워,강원도 속초시 조양동 엑스포로 75,38.1915785,128.5786351
Brian Reams, 3 stars ,some nice night views of the inner harbor lake area of sokcho  didn t go at day  but as others have said  the outside of the glass could be clearer  this is not exceptionally tall  for those who fear heights  or expensive crowded  for those who fear tourist traps    price was 1500 won and there was no wait for elevators in either direction  at that price  it s definitely still worth a quick trip up,5 years ago,엑스포타워,강원도 속초시 조양동 엑스포로 75,38.1915785,128.5786351
M. Herrn, 5 stars ,nice point of view of the city,a week ago,엑스포타워,강원도 속초시 조양동 엑스포로 75,38.1915785,128.5786351
Cho Caren, 5 stars ,awesome view  not that many people  it has a cafe on the observatory area only serving drinks  the price is  2 500 for 1 adult  you have to write your information in the ticket area to be able to get in,a year ago,엑스포타워,강원도 속초시 조양동 엑스포로 75,38.1915785,128.5786351
Robert Helvie, 3 stars ,not too tall  but nice views of the area  good for a short while and the price was okay  i suppose a night view might be interesting  but then you d lose the view of the distant mountains,a year ago,엑스포타워,강원도 속초시 조양동 엑스포로 75,38.1915785,128.5786351
Kyojima, 5 stars ,interesting architecture observation tower and good park to walk in  lots of cafes around,3 years ago,엑스포타워,강원도 속초시 조양동 엑스포로 75,38.1915785,128.5786351
Fang Leow, 3 stars ,nothing much at this place  entry to the tower not free,3 years ago,엑스포타워,강원도 속초시 조양동 엑스포로 75,38.1915785,128.5786351
Abdullah Al Marouf, 5 stars ,a very famous observation tower in sokcho  the ticket price is not expensive  you can enjoy the whole area to ride on this  the infrastructure and interior design of that tower is amazing  the place is very clean and attractive  many restaurant  qsr  coffee shops  motel are nearby place  if you re in sokcho i recommend you to go there,3 years ago,엑스포타워,강원도 속초시 조양동 엑스포로 75,38.1915785,128.5786351
Steve Fanis, 4 stars ,nice tower  interesting architecture  you can see it from many places within the city  so a great landmark  the plaza out front is very nice  and several convenience stores are nearby  bars and restaurants very close by  as well,4 years ago,엑스포타워,강원도 속초시 조양동 엑스포로 75,38.1915785,128.5786351
Viviana Arroyo, 5 stars ,entrance only  2  great video  beautiful park just across the street  it looks great at night,2 years ago,엑스포타워,강원도 속초시 조양동 엑스포로 75,38.1915785,128.5786351
Jallen Jinhae, 4 stars ,2 500 per adult   viewings of sokcho from the 15th floor   and there s a little cafe   nice place to chill,3 years ago,엑스포타워,강원도 속초시 조양동 엑스포로 75,38.1915785,128.5786351
Nippon Fraser, 4 stars ,didn t go up but looked cool from the outside,a year ago,엑스포타워,강원도 속초시 조양동 엑스포로 75,38.1915785,128.5786351
marcella eveline, 5 stars ,not all tour in korea going this place  i think its a little expensive for ticket  but this tower is a little unique,3 years ago,엑스포타워,강원도 속초시 조양동 엑스포로 75,38.1915785,128.5786351
Nikki Sandschaper, 4 stars ,nice view  pretty basic but fairly inexpensive  coffee shop at the top,2 years ago,엑스포타워,강원도 속초시 조양동 엑스포로 75,38.1915785,128.5786351
Hanson Chung, 3 stars ,just to visit for fun  view to the port and mountains,a year ago,엑스포타워,강원도 속초시 조양동 엑스포로 75,38.1915785,128.5786351
Adaira Gonz찼lez, 4 stars ,nice view but at the same time nothing overly special,2 years ago,엑스포타워,강원도 속초시 조양동 엑스포로 75,38.1915785,128.5786351
Yunji Yun, 4 stars ,awesome place with lots of things to do around  oh and lots of pokemons to catch,6 years ago,엑스포타워,강원도 속초시 조양동 엑스포로 75,38.1915785,128.5786351
Choo Zhi Yong, 5 stars ,nice viewpoint from the 15th floor that oversees the whole of sokcho,2 years ago,엑스포타워,강원도 속초시 조양동 엑스포로 75,38.1915785,128.5786351
Nicholas Rowland, 4 stars ,cool tower with high viewing area   lots of fun stuff around the tower,3 years ago,엑스포타워,강원도 속초시 조양동 엑스포로 75,38.1915785,128.5786351
Selva Ganesan, 5 stars ,there is a bike ride near by   good for kids,4 years ago,엑스포타워,강원도 속초시 조양동 엑스포로 75,38.1915785,128.5786351
hyeonji shin, 4 stars ,i used to go there but currently there was so old and creepy place for me,2 years ago,엑스포타워,강원도 속초시 조양동 엑스포로 75,38.1915785,128.5786351
