name,rating,review,date,attraction,address,latitude,longitude
Maria Araújo, 5 stars ,this was a lovely place  it s quite close to  jamesblue hostel and the walk there is quite enjoyable  it s close to a fish restaurant and to the lighthouse  it has an elevator for  acessibility  the view was amazing and the fact that i was there at sunset just made the experience even better,3 years ago,0,0,38.2127724,128.598535
Apple Ssuk, 5 stars ,is a beautiful place suitable for watching the sunrise  fresh ocean air  beautiful view and sea very clean,2 years ago,0,0,38.2127724,128.598535
Yael Livne, 4 stars ,2 pagodas nice and beautiful  3 min climbing stairs to go up  come for a visit if you re around and you got extra time,3 years ago,0,0,38.2127724,128.598535
KT PARK, 4 stars ,it has good view and easy to access taking 4 min,a year ago,0,0,38.2127724,128.598535
Camila, 5 stars ,definitely worth visiting  two beautiful pavilions with beautiful sights  one of them has an elevator,2 years ago,0,0,38.2127724,128.598535
Michal Ciszewski, 5 stars ,beautiful place with seaside view  recommend to visit,a month ago,0,0,38.2127724,128.598535
MyungChan Kim, 5 stars ,single pavilion above the sea  you can get a nice photograph from there  or with it,a year ago,0,0,38.2127724,128.598535
Elżbieta Lasota, 4 stars ,a pavilion on the sokcho coast  very quite in the evening  i really liked the colourful illumination,2 years ago,0,0,38.2127724,128.598535
Gia Cao Hoang, 5 stars ,great view and you can try king crab at restaurant nearby,2 years ago,0,0,38.2127724,128.598535
Jonathan Wolf, 4 stars ,went on a stormy night in the fall  it was awesome to see the small pavilion all lit up with colorful lights getting splashed by the breaking waves  i imagine it would be more underwhelming with smaller swells  but i definitely recommend going at night,4 years ago,0,0,38.2127724,128.598535
gookeun chung, 5 stars ,beautiful pavilion when waves come,a year ago,0,0,38.2127724,128.598535
Hope A, 5 stars ,cute pavilion for pictures,a year ago,0,0,38.2127724,128.598535
Suprapti Bintari, 5 stars ,nice spot to enjoy sokcho beach,10 months ago,0,0,38.2127724,128.598535
James Amrein, 5 stars ,with the sea and darkness in front of you  the lights of younggeumjeong are an amazing sight,5 years ago,0,0,38.2127724,128.598535
Jose Hernandez, 5 stars ,breathtaking view of the sunrise,a year ago,0,0,38.2127724,128.598535
Luke Kenyon, 5 stars ,what a great view especially in the morning sunset,2 years ago,0,0,38.2127724,128.598535
Omar Faruq, 4 stars ,excellent wave   wonderful sightseeing,9 months ago,0,0,38.2127724,128.598535
Dominic Jahr, 5 stars ,nice place also during the night,3 months ago,0,0,38.2127724,128.598535
dearsindy, 5 stars ,totally worth the small trek up the stairs,4 years ago,0,0,38.2127724,128.598535
Jay-hoya Park, 4 stars ,cozy n calming place  with nice sea view  bring it own beverages then u can enjoy it at there  kinda famous for traveler  so might be crowded  early in the morning or late in the night  recommend u to come here,2 years ago,0,0,38.2127724,128.598535
Praveen Kumar, 4 stars ,beautiful and peaceful place to visit,3 years ago,0,0,38.2127724,128.598535
Bryan W, 5 stars ,great photo spot for sunrises,2 years ago,0,0,38.2127724,128.598535
khunhee han, 4 stars ,there are beautiful night show with intense waves  so healing time on the view point  but the parking areas were so busy,a year ago,0,0,38.2127724,128.598535
Kausik Bishayee, 3 stars ,decent place with fresh sea air,3 years ago,0,0,38.2127724,128.598535
