name,rating,title,review,date,attraction,address,latitude,longitude,sitemap
The Soul Of Seoul,5.0 of 5 bubbles,Gorgeous Seaside Temple,i ve been to naksansa temple twice  one in the summer and once in the autumn and been beautiful both times  lovely paths to the buildings and then out to the cliffs overlooking the sea  a must visit in gangwondo            wellnesskorea  wellnesstourismsupporters,27-Nov-20,낙산사,강원도 양양군 강현면 낙산사로 100,38.1246156,128.6280451,trip adivisor
Jupiter81,5.0 of 5 bubbles,Beautiful temple by the sea,excellent and beautiful location in front of the ocean  the temple is very nice and pleasant  the big buddha statue is magnificent and the views from above are unforgettable,12-May-17,낙산사,강원도 양양군 강현면 낙산사로 100,38.1246156,128.6280451,trip adivisor
Mark,4.0 of 5 bubbles,"The sea to one side, the mountains to the other!",this temple offers some beautiful views as it is on the edge of the sea and close to the mountains  lots to see as you walk the temple grounds  we arrived close to sunset and spent about a little over an hour seeing the sights  we could have easily spent more time  but the setting sun limited our visit  my two kids  age 8 and 5  enjoyed it and were very intrigued by the inside of the temple with all the buddha statues  the hike around the grounds was not difficult as judged by minimum complaining by my kids    beautiful during sunset and wasn t too crowded  very peaceful place with great views of the sea and the mountains,27-Oct-16,낙산사,강원도 양양군 강현면 낙산사로 100,38.1246156,128.6280451,trip adivisor
Yahya Danayiyen,5.0 of 5 bubbles,"Feeling of Serenity, Find inner peaece",it is a buddhist temple located in gangwon provinve near sea of japan  east sea  pasific ocean    it is about 4 hoours by bus from seoul  this temple is one of the famous point to overlook the east sea  it was built on a hill   you can go with your friends  family  darling  if you are looking some romantic morning  it is one of the best point to watch sunrise in the early morning near the ocean  but in the winter season  it is so cold and windy  please bring your apropriate dress  coat etc   the nature is wonderful  you can spend 2 3 hours inside the temple  there is a big statue  a temple  there are sone cafes  restaurants  car parking areas  some impressing temple buildings  so don t worry if you forgot something to bring  you can find whatever you need in the temple   the view from top of the hill is magnificent  you can enjoy with overlooking ocean  the view of sunrise was incredible  we stayed one night at the tample and in the early morning we went to sea and watched sunrise over east sea  you can take beautiful and amasing profil picture at that time  visit temple and pray for your some wishes  don t forget to bring your selfie stick  camera  power bank  it is better to wear sport shoes  but the other kind of shoes is also ok,02-Feb-18,낙산사,강원도 양양군 강현면 낙산사로 100,38.1246156,128.6280451,trip adivisor
nuboy,5.0 of 5 bubbles,Serene,the temple  located by the sea  was reconstructed after a fire in the mid 2000s  the temple ground is huge  and one can easily spend an afternoon strolling around  i am glad that i took a day and traveled out of the seoul metro area and enjoyed the natural beauty of this country,03-Jun-17,낙산사,강원도 양양군 강현면 낙산사로 100,38.1246156,128.6280451,trip adivisor
zylet,5.0 of 5 bubbles,Relaxing,very relaxing p ace close to the beach you can spend there around 1 hour  for me it is minimum  and later walk to the beach,13-Apr-17,낙산사,강원도 양양군 강현면 낙산사로 100,38.1246156,128.6280451,trip adivisor
Chiu-wan,5.0 of 5 bubbles,beautiful Temple by the Sea,when we arrived we realized that it is a wonderful place  what a beautiful temple  overlooking the sea we were in several temples in korea,07-Nov-16,낙산사,강원도 양양군 강현면 낙산사로 100,38.1246156,128.6280451,trip adivisor
406dianey,5.0 of 5 bubbles,Pleasant attraction,this temple boasts gorgeous views of the sea and mountains in the backdrop  if you follow the full suggested walking tour  it can take more than an hour  it makes for a quiet stroll without the busloads of tourists  try to go on a day with clear skies or you won t get the best view photos,06-Nov-16,낙산사,강원도 양양군 강현면 낙산사로 100,38.1246156,128.6280451,trip adivisor
Suzi Lee,3.0 of 5 bubbles,Long walk. Nice view up there.,there is big parking lot outside so no worry if you re driving  shops selling dried seafood and some eateries alongside the parking  after the gate  it s a long walk through garden  we were there with our mother who had been having problems with her knees after all the long walks from almost all attractions here in korea  so  she preferred waiting for us at the gate  we thought we d be back in half an hour  despite our half walk half run and quickly paying respect to the standing buddha and rushing back to our mother  it took us over an hour     sweeping bird s eye view up there was spectacular though,26-Oct-16,낙산사,강원도 양양군 강현면 낙산사로 100,38.1246156,128.6280451,trip adivisor
MsNance-TX,5.0 of 5 bubbles,Beautiful temple!,best thing i have visited in korea  as good as the war memorial museum in seoul  beautiful location overlooking the east sea  well worth the uphill hike to get there  most of the paths have ramps as well as stairs  and was achievable even by our 80 year old family member  plan on at least an hour to see the minimum  but can easily spend much longer and see all the sights,12-Jul-16,낙산사,강원도 양양군 강현면 낙산사로 100,38.1246156,128.6280451,trip adivisor
