name,rating,review,date,attraction,address,latitude,longitude
Vortex FC,4,well organized and great place to relax  all amenities are great  clean and well kept  staff if friendly and professional   drawbacks    expensive food  ie 1 cup of latte is 10500 00 won   pool music too loud   bakery offers limited choices,5 months ago ,설해원CC,강원도 양양군 손양면 공항로 230,38.0537373,128.6600501
Dai-Hoon Lee,5,good golf course  service   facility,2 months ago ,설해원CC,강원도 양양군 손양면 공항로 230,38.0537373,128.6600501
Chris,2,i wanted to find out their rates  so i checked out their website  and  it was all in korean  which made it difficult for me to navigate their site  so  i called them instead  the guy who answered my call told me to phone a different number  when i did  i was told that somebody will get back to me promptly  it took a while for that person to call back  and  i honestly did not think the service was great  the cheapest room for a non member is in the 300 000 won range  which is quite expensive  and  the only way for a non member to make a reservation is over the phone  how inconvenient,a year ago ,설해원CC,강원도 양양군 손양면 공항로 230,38.0537373,128.6600501
Alex Kim,5,the recent renovation was a big success as this was one of the best multi room suites i ever stayed outside of seoul  be ready to pay up if you intend to use the pool and hot springs  they charge separately and is quite pricey  but restaurant price was reasonable and convenience store on the premise is indeed very convenient,2 years ago ,설해원CC,강원도 양양군 손양면 공항로 230,38.0537373,128.6600501
Jack Son,5,you don t need membership card for booking a room very good sweet room  290 day 3rooms 2bathrooms but they don t allow cooking in hotel,3 years ago ,설해원CC,강원도 양양군 손양면 공항로 230,38.0537373,128.6600501
Hwiyoung Kim,5,wow place  if you can get a chance to book a spot  just go there  the best place that i have ever been,a year ago ,설해원CC,강원도 양양군 손양면 공항로 230,38.0537373,128.6600501
Dotte,5,very exciting and beautiful golf course,4 years ago ,설해원CC,강원도 양양군 손양면 공항로 230,38.0537373,128.6600501
Jenny Seo,5,the greatest resort ever  in mountain stay,a year ago ,설해원CC,강원도 양양군 손양면 공항로 230,38.0537373,128.6600501
Yong Lee,5,nice resort with spa and pool  located near donghae sea   air condition is super,3 years ago ,설해원CC,강원도 양양군 손양면 공항로 230,38.0537373,128.6600501
Lester Robertson,1,price to use the pool and spa is a complete joke  will never come back,a year ago ,설해원CC,강원도 양양군 손양면 공항로 230,38.0537373,128.6600501
DY SOHN,5,great place for your vacation  a playground for little one would make it just perfect,2 years ago ,설해원CC,강원도 양양군 손양면 공항로 230,38.0537373,128.6600501
JUN. SHIN,4,i love this place for its beautiful scenery and good facilities,2 years ago ,설해원CC,강원도 양양군 손양면 공항로 230,38.0537373,128.6600501
robinblu chun,5,very nice golf course,9 months ago ,설해원CC,강원도 양양군 손양면 공항로 230,38.0537373,128.6600501
Pauline kim,5,this golf course is perfect  everything are excellent,2 years ago ,설해원CC,강원도 양양군 손양면 공항로 230,38.0537373,128.6600501
Bobby Moon,5,one of best golf hotel and cc,2 years ago ,설해원CC,강원도 양양군 손양면 공항로 230,38.0537373,128.6600501
YW Kim,5,beutiful courses  excellent staff and caddies,3 years ago ,설해원CC,강원도 양양군 손양면 공항로 230,38.0537373,128.6600501
Wayne Cho,4,fantastic view and luxury facility,3 years ago ,설해원CC,강원도 양양군 손양면 공항로 230,38.0537373,128.6600501
ESPRESSO COFFEE,5,good,a year ago ,설해원CC,강원도 양양군 손양면 공항로 230,38.0537373,128.6600501
SUNG GI KIM,5,ok,2 years ago ,설해원CC,강원도 양양군 손양면 공항로 230,38.0537373,128.6600501
Batgerel Ganbaatar,5,nice,2 years ago ,설해원CC,강원도 양양군 손양면 공항로 230,38.0537373,128.6600501
James Yoon,5,one of the best,3 years ago ,설해원CC,강원도 양양군 손양면 공항로 230,38.0537373,128.6600501
KJ Kang,5,luxury,3 years ago ,설해원CC,강원도 양양군 손양면 공항로 230,38.0537373,128.6600501
Colo Ventosa,4,relaxing place,2 years ago ,설해원CC,강원도 양양군 손양면 공항로 230,38.0537373,128.6600501
TaeSoon Park,5,goooooooood,5 years ago ,설해원CC,강원도 양양군 손양면 공항로 230,38.0537373,128.6600501
Aemi Chocho,5,i used it only in the hot spring sauna  it wasn t large  but it had a sophisticated atmosphere  the hot water in the open air bath was well maintained  and there was a chair right next to it  which was nice  i still want to use it    ,2 weeks ago ,설해원CC,강원도 양양군 손양면 공항로 230,38.0537373,128.6600501
