name,rating,review,date,attraction,address,latitude,longitude
DY K, 4 stars ,i didn t even know this airport is still open  but it remains quite clean  of course rare customers   more faculties,a year ago,0,0,38.058812,128.6607643
Mona Loraine, 3 stars ,used the airport for a business trip  it looks like a small gimpo airport,a year ago,0,0,38.058812,128.6607643
khunhee han, 4 stars ,very so peaceful with covid 19  but i m so good not busy,a year ago,0,0,38.058812,128.6607643
SHALIN GUPTA, 5 stars ,yangyang international airport  yny  operational dates  1   25 february 2018 operating hours  based on demand services  pvc validation only,4 years ago,0,0,38.058812,128.6607643
航空宇宙鉄道テクノロジーセンター, 5 stars ,new startup flygangwon is based here i guess,a year ago,0,0,38.058812,128.6607643
judy lao, 5 stars ,very good,a year ago,0,0,38.058812,128.6607643
Pham Michael, 5 stars ,military airport  small and empty like cat bi airport in vietnam  there are 2 days to and from hanoi  get the korean visa exemption     s n bay qu n s   b  v  v ng nh  s n bay c t bi   vn  ng y hi n c  2 chy n   n v   i t  h  n i     c c i mi n visa h n qu c,3 years ago,0,0,38.058812,128.6607643
bow ku, 5 stars ,no one is crowded  the stewardess is super beautiful and handsome    ,2 years ago,0,0,38.058812,128.6607643
Hà Duyên Châu, 4 stars ,small  not crowded  clean  little flight      nh   kh ng   ng kh ch  s ch s    t chuy n bay,2 years ago,0,0,38.058812,128.6607643
Juju Chang, 3 stars ,by the sea  the plane was terrifying when it encountered wind  all docked are small planes  gangwon airlines  stewardess  each beautiful and kind  very enthusiastic  taiwan and south korea early shipping  can feel the enthusiasm of service    ,2 years ago,0,0,38.058812,128.6607643
Michael Yang, 5 stars ,2018  pyeongchang winter olympics  north korean sports delegation entered south korea from here     2018,4 years ago,0,0,38.058812,128.6607643
The Thong Tuong, 4 stars ,the airport is quite small  pretty pig sucks and few people     s n bay kh  b   kh  heo h t v   t ng  i,a year ago,0,0,38.058812,128.6607643
湯三灣, 5 stars ,aerial shot of xiangyang airport  gangwon do  a beautiful and friendly airport   ,2 years ago,0,0,38.058812,128.6607643
王筠絮, 5 stars ,hope to have a chance to go again   ,2 years ago,0,0,38.058812,128.6607643
Daniel Ta, 3 stars ,clean     s ch s,3 years ago,0,0,38.058812,128.6607643
Lin宜蘭囝仔, 3 stars ,very small airport in yangchun   ,2 years ago,0,0,38.058812,128.6607643
