name,rating,review,date,attraction,address,latitude,longitude
Dongmin is Tom, 4 stars ,this place is so nice and show nice view  when on season  i think it will be hard to park in here  you guys should visit 2 places on here  light house and wooden gazebo,11 months ago,하조대,강원도 양양군 현북면 하광정리 산3,38.0223429,128.7267269
Kyle Haney, 5 stars ,amazing scenery and views  definitely worth the trip if near yangyang or sokcho and need of a short hike,2 months ago,하조대,강원도 양양군 현북면 하광정리 산3,38.0223429,128.7267269
Charles, 5 stars ,i walked from my rental  beautiful spot  i went in the rain and was the only person out  it s a short walk but would highly recommend for the scenery,a week ago,하조대,강원도 양양군 현북면 하광정리 산3,38.0223429,128.7267269
Karen Laurico, 5 stars ,this is an amazing place to visit in south korea  the place is refreshing to the body and mind because of its cool atmosphere  the view is also spectacular and pleasing to the eyes  best place to relax while sipping a hot coffee or chocolate in their traditional coffee shop  a must visit place,2 years ago,하조대,강원도 양양군 현북면 하광정리 산3,38.0223429,128.7267269
Yazhini Venugopal, 5 stars ,nice sea view and early evening sky is beautiful here,6 months ago,하조대,강원도 양양군 현북면 하광정리 산3,38.0223429,128.7267269
michaella gotlieb, 5 stars ,beautiful view of the japan sea and nature  has a little korean temple to sit in and a light house on the other side of the place,2 weeks ago,하조대,강원도 양양군 현북면 하광정리 산3,38.0223429,128.7267269
Ha Eun Kim, 5 stars ,i love the place   stress free    very nice place you must visit,a year ago,하조대,강원도 양양군 현북면 하광정리 산3,38.0223429,128.7267269
O&M Olson, 3 stars ,beautiful scenery and rocky shore scapes   a bit strange surrounding area with surveillance and fences but the view was great,a year ago,하조대,강원도 양양군 현북면 하광정리 산3,38.0223429,128.7267269
June Lee, 4 stars ,beautiful lighthouse observatory  you will appreciate such a fantastic ocean view from here   in a 5minute walk away from here there is an old  pavilion   one local man told me that s the hot spot to see the sunrise  many people come up here to see the first sunrise on the first day of the new year   it s a quite pleasure to walk along the trail while you re enjoying the ocean view,2 years ago,하조대,강원도 양양군 현북면 하광정리 산3,38.0223429,128.7267269
Dan G, 4 stars ,beautiful view of the sea  worth stopping,2 weeks ago,하조대,강원도 양양군 현북면 하광정리 산3,38.0223429,128.7267269
Jun Yoon, 5 stars ,the classic view of pine trees on rocks braving the waves was simply breathtaking,2 years ago,하조대,강원도 양양군 현북면 하광정리 산3,38.0223429,128.7267269
Michael Kim, 5 stars ,so cool,11 months ago,하조대,강원도 양양군 현북면 하광정리 산3,38.0223429,128.7267269
Sukanya Ghosh, 5 stars ,one must go to this place when they are visiting gangwondo to see the beautiful blue ocean and the surrounding rocky cliffs just adds on to the beauty the place shuts by 6,4 years ago,하조대,강원도 양양군 현북면 하광정리 산3,38.0223429,128.7267269
Harrison Yi, 4 stars ,good place to all in 4 season,2 years ago,하조대,강원도 양양군 현북면 하광정리 산3,38.0223429,128.7267269
Jongwook Woo, 5 stars ,must come see place of the east coast of korea  stunning scene of east sea  rock cliffs and pine trees which u can approach easily by car,2 years ago,하조대,강원도 양양군 현북면 하광정리 산3,38.0223429,128.7267269
Jay Song, 4 stars ,an old hang out place for two friends ha something and jo something i forgot now  pretty place with a 200 year old pine tree  difficult to park,3 years ago,하조대,강원도 양양군 현북면 하광정리 산3,38.0223429,128.7267269
Tam Chung, 4 stars ,beautiful scenery of korea s east coast,11 months ago,하조대,강원도 양양군 현북면 하광정리 산3,38.0223429,128.7267269
Hyun Jun Kim, 4 stars ,beautiful place to see the ocean  the pine tree is the best,3 years ago,하조대,강원도 양양군 현북면 하광정리 산3,38.0223429,128.7267269
Jihwan Kim (Ethan), 4 stars ,perfect place to see the sunrise,a year ago,하조대,강원도 양양군 현북면 하광정리 산3,38.0223429,128.7267269
Minho Lee, 4 stars ,nice place to walk parking possible,2 years ago,하조대,강원도 양양군 현북면 하광정리 산3,38.0223429,128.7267269
Hyuk Ho Jhang, 4 stars ,good view         pine tree on rock in seaside,3 years ago,하조대,강원도 양양군 현북면 하광정리 산3,38.0223429,128.7267269
Chinmay Routray, 5 stars ,a must visit please,3 years ago,하조대,강원도 양양군 현북면 하광정리 산3,38.0223429,128.7267269
Bobby Moon, 4 stars ,good landscape,2 years ago,하조대,강원도 양양군 현북면 하광정리 산3,38.0223429,128.7267269
subin Lm, 4 stars ,good,a year ago,하조대,강원도 양양군 현북면 하광정리 산3,38.0223429,128.7267269
SANJOU, 5 stars ,good,2 years ago,하조대,강원도 양양군 현북면 하광정리 산3,38.0223429,128.7267269
jaejae son, 5 stars ,good,3 years ago,하조대,강원도 양양군 현북면 하광정리 산3,38.0223429,128.7267269
Juhi Pac, 5 stars ,beautiful,3 years ago,하조대,강원도 양양군 현북면 하광정리 산3,38.0223429,128.7267269
?逵克?龜劇 ?, 5 stars ,nice sea view  there is harmony in this place  there is a place near where you can drink coffee   ,a year ago,하조대,강원도 양양군 현북면 하광정리 산3,38.0223429,128.7267269
